column,building,observation,stored_precision,origin
B3.diffuse_solar_irradiance_predicted_12h,3,diffuse_solar_irradiance_predicted_12h,float32,CityLearn zero-action observations
B3.diffuse_solar_irradiance_predicted_24h,3,diffuse_solar_irradiance_predicted_24h,float32,CityLearn zero-action observations
B3.direct_solar_irradiance,3,direct_solar_irradiance,float32,CityLearn zero-action observations
B3.direct_solar_irradiance_predicted_6h,3,direct_solar_irradiance_predicted_6h,float32,CityLearn zero-action observations
B3.direct_solar_irradiance_predicted_12h,3,direct_solar_irradiance_predicted_12h,float32,CityLearn zero-action observations
B3.direct_solar_irradiance_predicted_24h,3,direct_solar_irradiance_predicted_24h,float32,CityLearn zero-action observations
B3.carbon_intensity,3,carbon_intensity,float32,CityLearn zero-action observations
B3.non_shiftable_load,3,non_shiftable_load,float32,CityLearn zero-action observations
B3.solar_generation,3,solar_generation,float32,CityLearn zero-action observations
B3.electrical_storage_soc,3,electrical_storage_soc,float32,CityLearn zero-action observations
B3.net_electricity_consumption,3,net_electricity_consumption,float32,CityLearn zero-action observations
B3.electricity_pricing,3,electricity_pricing,float32,CityLearn zero-action observations
B3.electricity_pricing_predicted_6h,3,electricity_pricing_predicted_6h,float32,CityLearn zero-action observations
B3.electricity_pricing_predicted_12h,3,electricity_pricing_predicted_12h,float32,CityLearn zero-action observations
B3.electricity_pricing_predicted_24h,3,electricity_pricing_predicted_24h,float32,CityLearn zero-action observations
B4.month,4,month,float32,CityLearn zero-action observations
B4.day_type,4,day_type,float32,CityLearn zero-action observations
B4.hour,4,hour,float32,CityLearn zero-action observations
B4.outdoor_dry_bulb_temperature,4,outdoor_dry_bulb_temperature,float32,CityLearn zero-action observations
B4.outdoor_dry_bulb_temperature_predicted_6h,4,outdoor_dry_bulb_temperature_predicted_6h,float32,CityLearn zero-action observations
B4.outdoor_dry_bulb_temperature_predicted_12h,4,outdoor_dry_bulb_temperature_predicted_12h,float32,CityLearn zero-action observations
B4.outdoor_dry_bulb_temperature_predicted_24h,4,outdoor_dry_bulb_temperature_predicted_24h,float32,CityLearn zero-action observations
B4.outdoor_relative_humidity,4,outdoor_relative_humidity,float32,CityLearn zero-action observations
B4.outdoor_relative_humidity_predicted_6h,4,outdoor_relative_humidity_predicted_6h,float32,CityLearn zero-action observations
B4.outdoor_relative_humidity_predicted_12h,4,outdoor_relative_humidity_predicted_12h,float32,CityLearn zero-action observations
B4.outdoor_relative_humidity_predicted_24h,4,outdoor_relative_humidity_predicted_24h,float32,CityLearn zero-action observations
B4.diffuse_solar_irradiance,4,diffuse_solar_irradiance,float32,CityLearn zero-action observations
B4.diffuse_solar_irradiance_predicted_6h,4,diffuse_solar_irradiance_predicted_6h,float32,CityLearn zero-action observations
B4.diffuse_solar_irradiance_predicted_12h,4,diffuse_solar_irradiance_predicted_12h,float32,CityLearn zero-action observations
B4.diffuse_solar_irradiance_predicted_24h,4,diffuse_solar_irradiance_predicted_24h,float32,CityLearn zero-action observations
B4.direct_solar_irradiance,4,direct_solar_irradiance,float32,CityLearn zero-action observations
B4.direct_solar_irradiance_predicted_6h,4,direct_solar_irradiance_predicted_6h,float32,CityLearn zero-action observations
B4.direct_solar_irradiance_predicted_12h,4,direct_solar_irradiance_predicted_12h,float32,CityLearn zero-action observations
B4.direct_solar_irradiance_predicted_24h,4,direct_solar_irradiance_predicted_24h,float32,CityLearn zero-action observations
B4.carbon_intensity,4,carbon_intensity,float32,CityLearn zero-action observations
B4.non_shiftable_load,4,non_shiftable_load,float32,CityLearn zero-action observations
B4.solar_generation,4,solar_generation,float32,CityLearn zero-action observations
B4.electrical_storage_soc,4,electrical_storage_soc,float32,CityLearn zero-action observations
B4.net_electricity_consumption,4,net_electricity_consumption,float32,CityLearn zero-action observations
B4.electricity_pricing,4,electricity_pricing,float32,CityLearn zero-action observations
B4.electricity_pricing_predicted_6h,4,electricity_pricing_predicted_6h,float32,CityLearn zero-action observations
B4.electricity_pricing_predicted_12h,4,electricity_pricing_predicted_12h,float32,CityLearn zero-action observations
B4.electricity_pricing_predicted_24h,4,electricity_pricing_predicted_24h,float32,CityLearn zero-action observations
B5.month,5,month,float32,CityLearn zero-action observations
B5.day_type,5,day_type,float32,CityLearn zero-action observations
B5.hour,5,hour,float32,CityLearn zero-action observations
B5.outdoor_dry_bulb_temperature,5,outdoor_dry_bulb_temperature,float32,CityLearn zero-action observations
B5.outdoor_dry_bulb_temperature_predicted_6h,5,outdoor_dry_bulb_temperature_predicted_6h,float32,CityLearn zero-action observations
B5.outdoor_dry_bulb_temperature_predicted_12h,5,outdoor_dry_bulb_temperature_predicted_12h,float32,CityLearn zero-action observations
B5.outdoor_dry_bulb_temperature_predicted_24h,5,outdoor_dry_bulb_temperature_predicted_24h,float32,CityLearn zero-action observations
B5.outdoor_relative_humidity,5,outdoor_relative_humidity,float32,CityLearn zero-action observations
B5.outdoor_relative_humidity_predicted_6h,5,outdoor_relative_humidity_predicted_6h,float32,CityLearn zero-action observations
B5.outdoor_relative_humidity_predicted_12h,5,outdoor_relative_humidity_predicted_12h,float32,CityLearn zero-action observations
B5.outdoor_relative_humidity_predicted_24h,5,outdoor_relative_humidity_predicted_24h,float32,CityLearn zero-action observations
B5.diffuse_solar_irradiance,5,diffuse_solar_irradiance,float32,CityLearn zero-action observations
B5.diffuse_solar_irradiance_predicted_6h,5,diffuse_solar_irradiance_predicted_6h,float32,CityLearn zero-action observations
B5.diffuse_solar_irradiance_predicted_12h,5,diffuse_solar_irradiance_predicted_12h,float32,CityLearn zero-action observations
B5.diffuse_solar_irradiance_predicted_24h,5,diffuse_solar_irradiance_predicted_24h,float32,CityLearn zero-action observations
B5.direct_solar_irradiance,5,direct_solar_irradiance,float32,CityLearn zero-action observations
B5.direct_solar_irradiance_predicted_6h,5,direct_solar_irradiance_predicted_6h,float32,CityLearn zero-action observations
B5.direct_solar_irradiance_predicted_12h,5,direct_solar_irradiance_predicted_12h,float32,CityLearn zero-action observations
B5.direct_solar_irradiance_predicted_24h,5,direct_solar_irradiance_predicted_24h,float32,CityLearn zero-action observations
B5.carbon_intensity,5,carbon_intensity,float32,CityLearn zero-action observations
B5.non_shiftable_load,5,non_shiftable_load,float32,CityLearn zero-action observations
B5.solar_generation,5,solar_generation,float32,CityLearn zero-action observations
B5.electrical_storage_soc,5,electrical_storage_soc,float32,CityLearn zero-action observations
B5.net_electricity_consumption,5,net_electricity_consumption,float32,CityLearn zero-action observations
B5.electricity_pricing,5,electricity_pricing,float32,CityLearn zero-action observations
B5.electricity_pricing_predicted_6h,5,electricity_pricing_predicted_6h,float32,CityLearn zero-action observations
B5.electricity_pricing_predicted_12h,5,electricity_pricing_predicted_12h,float32,CityLearn zero-action observations
B5.electricity_pricing_predicted_24h,5,electricity_pricing_predicted_24h,float32,CityLearn zero-action observations
